n,no_protection_time_ms,shamir_total_time_ms,paillier_total_time_ms,no_protection_result,shamir_result,paillier_result
2,0.00042780302464962006,0.020244589541107416,0.08569660130888224,1.5,1.5,1.5
10,0.00045780325308442116,0.17683058977127075,0.2177497954107821,12.1,12.1,12.1
100,0.0005105859600007534,159.37087518395856,1.7234665807336569,104.73,104.73,104.73
250,0.001090404111891985,3493.8740795943886,4.147920978721231,243.844,243.844,243.844
500,0.0017956015653908253,33974.42338262917,8.213483018334953,499.348,499.348,499.348
