n,encryption_time_ms,addition_time_ms,decryption_time_ms,total_time_ms,result
2,0.06380180129781365,0.009904406033456326,0.011990393977612257,0.08569660130888224,1.5
10,0.1921103917993605,0.01415699953213334,0.011482404079288244,0.2177497954107821,12.1
100,1.6384818009100854,0.06697839125990868,0.018006388563662767,1.7234665807336569,104.73
250,3.9793805917724967,0.15731760067865252,0.011222786270081997,4.147920978721231,243.844
500,7.898150221444666,0.3045144025236368,0.010818394366651773,8.213483018334953,499.348
